HS_KEY,세번2단위품명,세번4단위품명,세번6단위품명,세번10단위품명,hs_한글품목명,hs_영문품목명,data_source,final_combined_text
2101111000,제21류 각종 조제 식료품,"커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물",추출물(extract)ㆍ에센스(essence)ㆍ농축물,인스턴트 커피,인스턴트 커피,Instant coffee,hsk_with_hs,"제21류 각종 조제 식료품 제21류 각종 조제 식료품 커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물 커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물 추출물(extract)ㆍ에센스(essence)ㆍ농축물 추출물(extract)ㆍ에센스(essence)ㆍ농축물 추출물(extract)ㆍ에센스(essence)ㆍ농축물 인스턴트 커피 인스턴트 커피 인스턴트 커피 인스턴트 커피 1.소비재 가.직접소비재 1)농산물(소비재) 1)농산물(소비재) -커피류 -커피류 (인스턴트 커피) (인스턴트 커피) (인스턴트 커피) 1. 소비재 나. 직접소비재 - 기타 직접소비재 (조제식품) - 기 타 인스턴트 커피 인스턴트 커피 인스턴트 커피 Instant coffee Instant coffee (인스턴트 커피)"
2101119000,제21류 각종 조제 식료품,"커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물",추출물(extract)ㆍ에센스(essence)ㆍ농축물,기타,기타,Other,hsk_with_hs,"제21류 각종 조제 식료품 제21류 각종 조제 식료품 커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물 커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물 추출물(extract)ㆍ에센스(essence)ㆍ농축물 추출물(extract)ㆍ에센스(essence)ㆍ농축물 추출물(extract)ㆍ에센스(essence)ㆍ농축물 기타 기타 기타 기타 1.소비재 가.직접소비재 1)농산물(소비재) 1)농산물(소비재) -커피류 -커피류 (인스턴트 커피) (인스턴트 커피) (인스턴트 커피) 1. 소비재 나. 직접소비재 - 기타 직접소비재 (조제식품) - 기 타 기타 기타 기타 Other Other (인스턴트 커피)"
2101121000,제21류 각종 조제 식료품,"커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물",추출물(extract)ㆍ에센스(essence)ㆍ농축물을 기본 재료로 하거나 커피를 기본 재료로 한 조제품,인스턴트 커피의 조제품,인스턴트 커피의 조제품,Preparations of instant coffee,hsk_with_hs,"제21류 각종 조제 식료품 제21류 각종 조제 식료품 커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물 커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물 추출물(extract)ㆍ에센스(essence)ㆍ농축물을 기본 재료로 하거나 커피를 기본 재료로 한 조제품 추출물(extract)ㆍ에센스(essence)ㆍ농축물을 기본 재료로 하거나 커피를 기본 재료로 한 조제품 추출물(extract)ㆍ에센스(essence)ㆍ농축물을 기본 재료로 하거나 커피를 기본 재료로 한 조제품 인스턴트 커피의 조제품 인스턴트 커피의 조제품 인스턴트 커피의 조제품 인스턴트 커피의 조제품 1.소비재 가.직접소비재 1)농산물(소비재) 1)농산물(소비재) -커피류 -커피류 (인스턴트 커피) (인스턴트 커피) (인스턴트 커피) 1. 소비재 나. 직접소비재 - 기타 직접소비재 (조제식품) - 기 타 인스턴트 커피의 조제품 인스턴트 커피의 조제품 인스턴트 커피의 조제품 Preparations of instant coffee Preparations of instant coffee (인스턴트 커피)"
2101129010,제21류 각종 조제 식료품,"커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물",추출물(extract)ㆍ에센스(essence)ㆍ농축물을 기본 재료로 하거나 커피를 기본 재료로 한 조제품,밀크ㆍ크림 또는 이들의 대용물을 함유한 것,밀크ㆍ크림 또는 이들의 대용물을 함유한 것,"Of containing milk, cream or their substitutes",hsk_with_hs,"제21류 각종 조제 식료품 제21류 각종 조제 식료품 커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물 커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물 추출물(extract)ㆍ에센스(essence)ㆍ농축물을 기본 재료로 하거나 커피를 기본 재료로 한 조제품 추출물(extract)ㆍ에센스(essence)ㆍ농축물을 기본 재료로 하거나 커피를 기본 재료로 한 조제품 추출물(extract)ㆍ에센스(essence)ㆍ농축물을 기본 재료로 하거나 커피를 기본 재료로 한 조제품 밀크ㆍ크림 또는 이들의 대용물을 함유한 것 밀크ㆍ크림 또는 이들의 대용물을 함유한 것 밀크ㆍ크림 또는 이들의 대용물을 함유한 것 밀크ㆍ크림 또는 이들의 대용물을 함유한 것 1.소비재 가.직접소비재 1)농산물(소비재) 1)농산물(소비재) -커피류 -커피류 (인스턴트 커피) (인스턴트 커피) (인스턴트 커피) 1. 소비재 나. 직접소비재 - 기타 직접소비재 (조제식품) - 기 타 밀크ㆍ크림 또는 이들의 대용물을 함유한 것 밀크ㆍ크림 또는 이들의 대용물을 함유한 것 밀크ㆍ크림 또는 이들의 대용물을 함유한 것 Of containing milk, cream or their substitutes Of containing milk, cream or their substitutes (인스턴트 커피)"
2101129090,제21류 각종 조제 식료품,"커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물",추출물(extract)ㆍ에센스(essence)ㆍ농축물을 기본 재료로 하거나 커피를 기본 재료로 한 조제품,기타,기타,Other,hsk_with_hs_with_std,"제21류 각종 조제 식료품 제21류 각종 조제 식료품 커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물 커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물 추출물(extract)ㆍ에센스(essence)ㆍ농축물을 기본 재료로 하거나 커피를 기본 재료로 한 조제품 추출물(extract)ㆍ에센스(essence)ㆍ농축물을 기본 재료로 하거나 커피를 기본 재료로 한 조제품 추출물(extract)ㆍ에센스(essence)ㆍ농축물을 기본 재료로 하거나 커피를 기본 재료로 한 조제품 기타 기타 기타 기타 1.소비재 가.직접소비재 1)농산물(소비재) 1)농산물(소비재) -커피류 -커피류 (인스턴트 커피) (인스턴트 커피) (인스턴트 커피) 1. 소비재 나. 직접소비재 - 기타 직접소비재 (조제식품) - 기 타 기타 기타 기타 Other Other (인스턴트 커피) 추출물(extract)ㆍ에센스(essence)ㆍ농축물을 기본 재료로 하거나 커피를 기본 재료로 한 조제품(기타_기타) 추출물(extract)ㆍ에센스(essence)ㆍ농축물을 기본 재료로 하거나 커피를 기본 재료로 한 조제품(기타_기타) 추출물(extract)ㆍ에센스(essence)ㆍ농축물을 기본 재료로 하거나 커피를 기본 재료로 한 조제품(기타_기타)"
2101129090,제21류 각종 조제 식료품,"커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물",추출물(extract)ㆍ에센스(essence)ㆍ농축물을 기본 재료로 하거나 커피를 기본 재료로 한 조제품,기타,기타,Other,hsk_with_hs_with_std,"제21류 각종 조제 식료품 제21류 각종 조제 식료품 커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물 커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물 추출물(extract)ㆍ에센스(essence)ㆍ농축물을 기본 재료로 하거나 커피를 기본 재료로 한 조제품 추출물(extract)ㆍ에센스(essence)ㆍ농축물을 기본 재료로 하거나 커피를 기본 재료로 한 조제품 추출물(extract)ㆍ에센스(essence)ㆍ농축물을 기본 재료로 하거나 커피를 기본 재료로 한 조제품 기타 기타 기타 기타 1.소비재 가.직접소비재 1)농산물(소비재) 1)농산물(소비재) -커피류 -커피류 (인스턴트 커피) (인스턴트 커피) (인스턴트 커피) 1. 소비재 나. 직접소비재 - 기타 직접소비재 (조제식품) - 기 타 기타 기타 기타 Other Other (인스턴트 커피) 추출물(extract)ㆍ에센스(essence)ㆍ농축물을 기본 재료로 하거나 커피를 기본 재료로 한 조제품(기타_기타) 추출물(extract)ㆍ에센스(essence)ㆍ농축물을 기본 재료로 하거나 커피를 기본 재료로 한 조제품(기타_기타) 추출물(extract)ㆍ에센스(essence)ㆍ농축물을 기본 재료로 하거나 커피를 기본 재료로 한 조제품(기타_기타)"
2101201000,제21류 각종 조제 식료품,"커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물","차나 마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(mate)를 기본 재료로 한 조제품",설탕ㆍ레몬이나 이들의 대용물을 함유한 것,설탕ㆍ레몬이나 이들의 대용물을 함유한 것,"Of containing sugar, lemon or their substitutes",hsk_with_hs,"제21류 각종 조제 식료품 제21류 각종 조제 식료품 커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물 커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물 차나 마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(mate)를 기본 재료로 한 조제품 차나 마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(mate)를 기본 재료로 한 조제품 차나 마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(mate)를 기본 재료로 한 조제품 설탕ㆍ레몬이나 이들의 대용물을 함유한 것 설탕ㆍ레몬이나 이들의 대용물을 함유한 것 설탕ㆍ레몬이나 이들의 대용물을 함유한 것 설탕ㆍ레몬이나 이들의 대용물을 함유한 것 1.소비재 가.직접소비재 1)농산물(소비재) 1)농산물(소비재) -차 -차 (기타 차류) (기타 차류) (기타 차류) 1. 소비재 나. 직접소비재 - 기타 직접소비재 (조제식품) - 기 타 설탕ㆍ레몬이나 이들의 대용물을 함유한 것 설탕ㆍ레몬이나 이들의 대용물을 함유한 것 설탕ㆍ레몬이나 이들의 대용물을 함유한 것 Of containing sugar, lemon or their substitutes Of containing sugar, lemon or their substitutes (기타 차류)"
2101209011,제21류 각종 조제 식료품,"커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물","차나 마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(mate)를 기본 재료로 한 조제품",티백 포장의 것,티백 포장의 것,Of packing with tea bag,hsk_with_hs,"제21류 각종 조제 식료품 제21류 각종 조제 식료품 커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물 커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물 차나 마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(mate)를 기본 재료로 한 조제품 차나 마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(mate)를 기본 재료로 한 조제품 차나 마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(mate)를 기본 재료로 한 조제품 티백 포장의 것 티백 포장의 것 티백 포장의 것 티백 포장의 것 1.소비재 가.직접소비재 1)농산물(소비재) 1)농산물(소비재) -차 -차 (기타 차류) (기타 차류) (기타 차류) 1. 소비재 나. 직접소비재 - 기타 직접소비재 (조제식품) - 기 타 티백 포장의 것 티백 포장의 것 티백 포장의 것 Of packing with tea bag Of packing with tea bag (기타 차류)"
2101209019,제21류 각종 조제 식료품,"커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물","차나 마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(mate)를 기본 재료로 한 조제품",기타,기타,Other,hsk_with_hs,"제21류 각종 조제 식료품 제21류 각종 조제 식료품 커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물 커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물 차나 마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(mate)를 기본 재료로 한 조제품 차나 마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(mate)를 기본 재료로 한 조제품 차나 마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(mate)를 기본 재료로 한 조제품 기타 기타 기타 기타 1.소비재 가.직접소비재 1)농산물(소비재) 1)농산물(소비재) -차 -차 (기타 차류) (기타 차류) (기타 차류) 1. 소비재 나. 직접소비재 - 기타 직접소비재 (조제식품) - 기 타 기타 기타 기타 Other Other (기타 차류)"
2101209090,제21류 각종 조제 식료품,"커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물","차나 마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(mate)를 기본 재료로 한 조제품",기타,기타,Other,hsk_with_hs_with_std,"제21류 각종 조제 식료품 제21류 각종 조제 식료품 커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물 커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물 차나 마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(mate)를 기본 재료로 한 조제품 차나 마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(mate)를 기본 재료로 한 조제품 차나 마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(mate)를 기본 재료로 한 조제품 기타 기타 기타 기타 1.소비재 가.직접소비재 1)농산물(소비재) 1)농산물(소비재) -차 -차 (기타 차류) (기타 차류) (기타 차류) 1. 소비재 나. 직접소비재 - 기타 직접소비재 (조제식품) - 기 타 기타 기타 기타 Other Other (기타 차류) 차나 마테(maté)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(maté)를 기본 재료로 한 조제품(기타_기타) 차나 마테(maté)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(maté)를 기본 재료로 한 조제품(기타_기타) 차나 마테(maté)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(maté)를 기본 재료로 한 조제품(기타_기타)"
2101209090,제21류 각종 조제 식료품,"커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물","차나 마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(mate)를 기본 재료로 한 조제품",기타,기타,Other,hsk_with_hs_with_std,"제21류 각종 조제 식료품 제21류 각종 조제 식료품 커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물 커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물 차나 마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(mate)를 기본 재료로 한 조제품 차나 마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(mate)를 기본 재료로 한 조제품 차나 마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(mate)를 기본 재료로 한 조제품 기타 기타 기타 기타 1.소비재 가.직접소비재 1)농산물(소비재) 1)농산물(소비재) -차 -차 (기타 차류) (기타 차류) (기타 차류) 1. 소비재 나. 직접소비재 - 기타 직접소비재 (조제식품) - 기 타 기타 기타 기타 Other Other (기타 차류) 차나 마테(maté)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(maté)를 기본 재료로 한 조제품(기타_기타) 차나 마테(maté)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(maté)를 기본 재료로 한 조제품(기타_기타) 차나 마테(maté)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(maté)를 기본 재료로 한 조제품(기타_기타)"
2101209090,제21류 각종 조제 식료품,"커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물","차나 마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(mate)를 기본 재료로 한 조제품",기타,기타,Other,hsk_with_hs_with_std,"제21류 각종 조제 식료품 제21류 각종 조제 식료품 커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물 커피ㆍ차ㆍ마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물과 이것들을 기본 재료로 한 조제품, 커피ㆍ차ㆍ마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)ㆍ그 밖의 볶은 커피 대용물과 이들의 추출물(extract)ㆍ에센스(essence)ㆍ농축물 차나 마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(mate)를 기본 재료로 한 조제품 차나 마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(mate)를 기본 재료로 한 조제품 차나 마테(mate)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(mate)를 기본 재료로 한 조제품 기타 기타 기타 기타 1.소비재 가.직접소비재 1)농산물(소비재) 1)농산물(소비재) -차 -차 (기타 차류) (기타 차류) (기타 차류) 1. 소비재 나. 직접소비재 - 기타 직접소비재 (조제식품) - 기 타 기타 기타 기타 Other Other (기타 차류) 차나 마테(maté)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(maté)를 기본 재료로 한 조제품(기타_기타) 차나 마테(maté)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(maté)를 기본 재료로 한 조제품(기타_기타) 차나 마테(maté)의 추출물(extract)ㆍ에센스(essence)ㆍ농축물, 이들을 기본 재료로 한 조제품, 차나 마테(maté)를 기본 재료로 한 조제품(기타_기타)"
